"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1843.62862600717
"FDW14","OUT017",1529.93111153801
"NCN55","OUT010",1918.62502658762
"FDQ58","OUT017",2583.62595984509
"FDY38","OUT027",5163.42780452969
"FDH56","OUT046",1890.25011088581
"FDL48","OUT018",570.504390139047
"FDC48","OUT027",2779.9501459134
"FDN33","OUT045",1488.92806890123
"FDA36","OUT017",3079.37178502366
"FDT44","OUT017",2012.73648056628
"FDQ56","OUT045",1327.82903759681
"NCC54","OUT019",1897.8636550199
"FDU11","OUT049",2068.4464882931
"DRL59","OUT013",907.908941972818
"FDM24","OUT049",2524.79830338258
"FDI57","OUT045",3092.21884165781
"DRC12","OUT018",2781.94991921716
"NCM42","OUT027",3225.49023789896
"FDA46","OUT010",1171.07560192275
"FDA31","OUT013",2821.56214608774
"NCJ31","OUT035",3945.09352365254
"FDG52","OUT046",810.182625393153
"NCL19","OUT019",371.764352656708
"FDS10","OUT035",3024.07725317116
"FDX22","OUT010",1416.61437739979
"NCF19","OUT035",952.47765894476
"NCE06","OUT046",2578.66806204044
"DRC27","OUT046",3874.74904463162
"FDE21","OUT035",2025.3373290348
"NCR42","OUT019",-1343.93535124284
"FDX51","OUT018",2824.37519536934
"NCR06","OUT018",450.806726840245
"FDU31","OUT027",4906.9963891955
"FDU59","OUT017",2727.11626077472
"FDR03","OUT027",4710.10725550331
"FDS49","OUT027",2769.13842280948
"FDD48","OUT010",-69.0670067277458
"NCF18","OUT017",3161.19107126493
"NCD43","OUT027",3127.53739593785
"NCD54","OUT018",2021.95176328697
"FDY19","OUT010",-28.1573636071103
"NCY54","OUT017",2877.85483548359
"NCL19","OUT018",2044.80140952445
"FDP23","OUT010",1536.80376558357
"FDC26","OUT013",1844.03486002747
"FDR14","OUT010",-974.522363127483
"NCS41","OUT035",3063.43080488363
"FDF41","OUT035",4073.10382725375
"FDU34","OUT046",2010.93122395457
"DRH11","OUT046",955.229017730949
"FDM03","OUT013",1758.53074933167
"FDS31","OUT017",2988.17549195679
"FDJ20","OUT017",2074.85876176301
"FDV44","OUT027",4455.23193157729
"FDG02","OUT049",3103.38732294899
"FDA09","OUT013",2894.04488388003
